id,irrigated_at,created_at,water_amount_ml,method,reason_code,observation
03fc9cbf-0691-42b4-909a-6376c6b69037,2026-02-06 11:35:11+07,2026-02-08 19:32:28+07,100,M,20,normal
0925dd58-e44f-4b7c-bd71-2f70b7de2022,2026-02-08 06:30:37+07,2026-02-08 00:48:43+07,100,M,10,normal
102b4a94-2d9a-43b4-ac46-fd5cabb8692c,2026-02-02 06:10:49+07,2026-02-02 13:03:08+07,50,M,10,normal
1608824c-a02c-49be-8ce6-3d2fc2be8c0e,2026-03-07 17:09:17+07,2026-03-07 17:13:24+07,100,M,20,dry
1e98a822-4434-4293-a253-db6bd5156b86,2026-02-13 05:30:47+07,2026-02-13 01:33:26+07,150,M,10,normal
1fc43e09-9d1f-4649-93d9-50bc1cf4d37f,2026-03-06 17:04:48+07,2026-03-06 17:56:04+07,50,M,10,normal
2e12e3a4-639d-482e-af88-f3630b295387,2026-02-08 18:34:33+07,2026-02-08 19:34:34+07,100,M,20,normal
349f31fc-492d-45d7-82be-011ab0650461,2026-01-30 17:10:49+07,2026-01-30 22:21:01+07,50,M,10,Normal
35c56652-b05c-43fb-8fbc-129f7e6664a1,2026-02-14 17:15:09+07,2026-02-14 17:43:30+07,50,M,10,normal
3dce8642-d8e4-46a0-af79-d51ff7d759d4,2026-02-05 13:55:29+07,2026-02-05 16:00:36+07,100,M,20,soil dry
410d0564-39c5-467a-b878-fff71017f6ea,2026-03-02 07:29:21+07,2026-03-02 07:53:36+07,50,M,10,normal
41b2a99a-c45f-4529-b0e0-82c01f1a897a,2026-03-10 18:00:32+07,2026-03-10 12:24:52+07,50,M,10,normal
42e1b35c-21cc-4025-a53b-12c5e5a69758,2026-03-05 17:15:05+07,2026-03-05 17:55:20+07,50,M,10,normal
44ee595c-5c14-4ae0-886c-e0797262e1f4,2026-01-29 06:15:40+07,2026-01-29 13:05:55+07,150,M,10,normal
46285ff0-bd31-4feb-862e-cc2855dc3381,2026-02-13 17:30:03+07,2026-02-13 21:57:21+07,50,M,10,normal
4ca6821b-a854-459c-a313-dd5aad1dde9b,2026-03-08 16:55:27+07,2026-03-08 12:22:50+07,50,M,10,normal
5c0fb343-74eb-4a7f-a733-381ddac9a035,2026-03-02 15:25:36+07,2026-03-02 17:50:06+07,50,M,20,Dry
6af2f106-94d2-4fb7-a907-06c53f52169c,2026-03-04 18:10:59+07,2026-03-04 18:55:12+07,50,M,10,normal
741e4c05-15cc-4a92-9836-8209591774bc,2026-03-13 08:13:06+07,2026-03-13 12:29:35+07,50,M,10,normal
7c0ea9cf-03fa-40e0-bf11-0efe93d93b56,2026-03-14 10:41:50+07,2026-03-14 12:31:05+07,50,M,10,normal
7effe800-6dc6-411e-9f87-50c475ba2396,2026-03-09 17:09:38+07,2026-03-09 12:24:00+07,50,M,10,normal
91b32c51-219c-46c5-8b7e-3880d7bce765,2026-02-10 05:10:06+07,2026-02-10 00:52:23+07,50,M,10,normal
91d0c4a2-96f4-4b79-a80c-c5697b2f00c8,2026-03-03 18:10:25+07,2026-03-03 18:53:14+07,50,M,10,normal
92a6a782-7ad8-4609-b0c1-5ec882f80fac,2026-03-12 04:41:53+07,2026-03-12 04:41:58+07,50,M,10,normal
ac08a97d-0ab0-46e0-a432-80bea494364a,2026-01-28 11:23:46+07,2026-01-28 12:50:53+07,100,M,20,dry
b39035df-593f-4dda-aaf8-b28e40b3f045,2026-03-07 17:11:45+07,2026-03-07 12:21:29+07,50,M,10,normal
beeb55cf-73ec-4379-a7f4-cf00b7eb4f70,2026-02-03 13:55:00+07,2026-02-03 14:11:00+07,50,M,20,"Soil dry, moisture ~35%
"
c3068e7b-5b0a-460c-a4c9-fe5c1039e476,2026-01-29 18:00:46+07,2026-01-29 18:19:53+07,100,M,10,"normal
"
c4031dc5-c30a-4fe5-abcc-38f611b2b83e,2026-03-11 18:35:38+07,2026-03-11 12:26:54+07,50,M,10,Normal
c90f40d1-6988-4054-ac80-5436e6ceb47f,2026-02-12 09:00:36+07,2026-02-12 13:55:11+07,50,M,20,dry
ce5c0c9c-3e89-4534-844f-c5855bd05aeb,2026-03-15 09:04:49+07,2026-03-15 13:38:03+07,50,M,10,normal
ce696cf1-eee0-40c2-a7a6-dc01e4894c4b,2026-01-27 17:10:36+07,2026-01-27 18:08:43+07,100,M,10,normal
d328e10a-c38f-496b-aa50-8ce02044f011,2026-02-07 13:55:40+07,2026-02-08 19:33:42+07,100,M,20,soil dry
e152a4cd-1fd7-4186-b7f8-ee8f1b6fd8f2,2026-02-09 05:30:54+07,2026-02-09 14:50:44+07,50,M,10,normal
e3df6e14-b77e-44d1-9c50-77a5aef736d0,2026-02-01 17:15:19+07,2026-02-02 02:51:39+07,50,M,10,normal
ed95bf52-71e3-4771-bc22-b98d8d93aacf,2026-01-31 06:15:30+07,2026-01-31 13:51:40+07,100,M,10,normal
