id,timestamp,soil_moisture,air_temperature,air_humidity
1,2026-01-27 13:01:53.508617+07,35,30.3,70
2,2026-01-27 13:06:22.859531+07,36,30,72
3,2026-01-27 13:08:15.150536+07,58,30.8,69
4,2026-01-27 13:23:23.894374+07,58,31.7,72
5,2026-01-27 13:38:32.545964+07,62,36.8,55
6,2026-01-27 13:53:41.227709+07,60,32.4,59
7,2026-01-27 14:08:49.858324+07,63,34.2,61
8,2026-01-27 14:23:58.525865+07,64,32.4,67
9,2026-01-27 14:39:07.128192+07,63,30.8,72
10,2026-01-27 14:54:15.72472+07,66,31,65
11,2026-01-27 15:09:24.368227+07,66,30.2,67
12,2026-01-27 15:24:33.02948+07,66,29.9,74
13,2026-01-27 15:39:42.518223+07,68,29.9,74
14,2026-01-27 15:54:53.149812+07,68,30.8,74
15,2026-01-27 16:10:02.306912+07,68,29.3,71
16,2026-01-27 16:25:11.089442+07,68,30.7,65
17,2026-01-27 16:40:19.665286+07,69,29.4,71
18,2026-01-27 16:55:28.357279+07,70,29.2,70
19,2026-01-27 17:10:36.963427+07,71,29.4,72
20,2026-01-27 17:25:45.711925+07,94,28,71
21,2026-01-27 17:40:55.885507+07,94,28.7,75
22,2026-01-27 17:56:04.684129+07,93,28.9,77
23,2026-01-27 18:11:14.827027+07,93,27,76
24,2026-01-27 18:26:24.733884+07,93,27.3,80
25,2026-01-27 18:41:34.404383+07,93,27.5,80
26,2026-01-27 18:56:44.67209+07,88,26.5,84
27,2026-01-27 19:11:53.445319+07,87,27.2,82
28,2026-01-27 19:27:04.891388+07,87,27.2,79
29,2026-01-27 19:42:14.345742+07,87,27.3,78
30,2026-01-27 19:57:23.363102+07,87,27.9,77
34,2026-01-27 20:44:56.04303+07,83,27.9,80
35,2026-01-27 21:00:05.667033+07,58,27.1,82
36,2026-01-27 21:15:14.958982+07,58,27.8,80
37,2026-01-27 21:30:25.808466+07,58,27.9,79
38,2026-01-27 21:45:35.495011+07,58,27.8,73
39,2026-01-27 22:00:44.935572+07,57,27.8,76
40,2026-01-27 22:15:54.042615+07,57,26,76
41,2026-01-27 22:31:03.755049+07,57,26.8,76
42,2026-01-27 22:46:12.609733+07,57,26.6,77
43,2026-01-27 23:01:21.546891+07,57,26.5,78
44,2026-01-27 23:16:30.605174+07,57,26,78
45,2026-01-27 23:31:39.588422+07,57,26.3,79
46,2026-01-27 23:46:48.929009+07,57,26.9,80
47,2026-01-28 00:01:57.771427+07,57,26.4,79
48,2026-01-28 00:17:06.432899+07,57,26.7,80
49,2026-01-28 00:32:15.272135+07,57,26,80
50,2026-01-28 00:47:23.991554+07,57,26.9,82
51,2026-01-28 01:02:32.787306+07,57,26.7,83
52,2026-01-28 01:17:41.781715+07,57,25.1,84
53,2026-01-28 01:32:50.649735+07,57,25.8,85
54,2026-01-28 01:47:59.454129+07,57,25.8,86
55,2026-01-28 02:03:08.19884+07,57,25.3,87
56,2026-01-28 02:18:16.967201+07,57,25.4,87
57,2026-01-28 02:33:25.801698+07,56,25.5,86
58,2026-01-28 02:48:34.620866+07,58,25.4,86
59,2026-01-28 03:03:43.403307+07,57,25.8,87
60,2026-01-28 03:18:52.182586+07,57,25.6,89
61,2026-01-28 03:34:01.037485+07,57,25.5,88
62,2026-01-28 03:49:09.798134+07,57,24.2,89
63,2026-01-28 04:04:18.59325+07,57,24.5,90
64,2026-01-28 04:19:27.410921+07,58,24.3,90
65,2026-01-28 04:34:36.076535+07,58,24,90
66,2026-01-28 04:49:44.786522+07,57,24,90
67,2026-01-28 05:04:53.655228+07,57,24,90
68,2026-01-28 05:20:02.409062+07,57,24.5,90
69,2026-01-28 05:35:11.134646+07,57,24.7,90
70,2026-01-28 05:50:20.444399+07,57,24.7,89
71,2026-01-28 06:05:29.89649+07,57,24.1,90
72,2026-01-28 06:20:38.775208+07,57,24.1,90
73,2026-01-28 06:35:47.535004+07,57,24.3,90
74,2026-01-28 06:50:56.266823+07,57,24.5,90
75,2026-01-28 07:06:04.950593+07,56,24.1,90
76,2026-01-28 07:21:14.093715+07,56,24.6,91
77,2026-01-28 07:36:22.715385+07,56,25.5,89
78,2026-01-28 07:51:31.485017+07,64,25.7,89
79,2026-01-28 08:06:40.715256+07,59,26.6,87
80,2026-01-28 08:21:49.494597+07,58,28.2,85
81,2026-01-28 08:36:58.207209+07,57,29.1,76
82,2026-01-28 08:52:06.884217+07,56,29.1,73
83,2026-01-28 09:07:15.476711+07,59,30.3,77
84,2026-01-28 09:22:24.320569+07,61,28.5,75
85,2026-01-28 09:37:33.086614+07,59,28.2,77
86,2026-01-28 09:52:41.87903+07,56,28.2,75
87,2026-01-28 10:07:50.635024+07,60,31.1,70
88,2026-01-28 10:22:59.490722+07,52,30.9,68
89,2026-01-28 10:38:08.145577+07,51,33.8,64
90,2026-01-28 10:53:17.015689+07,56,34.6,58
91,2026-01-28 11:08:25.819898+07,56,32.6,57
92,2026-01-28 11:23:34.592662+07,48,31,62
93,2026-01-28 11:38:43.305424+07,82,36,47
94,2026-01-28 11:53:52.099981+07,100,39.6,33
95,2026-01-28 12:09:03.10424+07,100,39.2,39
96,2026-01-28 12:24:12.574861+07,100,36.1,47
97,2026-01-28 12:39:21.390175+07,100,36.8,43
98,2026-01-28 12:54:30.533598+07,100,33.8,61
99,2026-01-28 13:09:39.533715+07,100,33.6,65
100,2026-01-28 13:24:48.842029+07,100,34.9,67
101,2026-01-28 13:39:58.350124+07,100,38.5,41
102,2026-01-28 13:55:08.855702+07,100,34.3,43
103,2026-01-28 14:10:17.617946+07,100,32.1,60
104,2026-01-28 14:25:26.612139+07,100,32,62
105,2026-01-28 14:40:35.378904+07,100,32.4,67
106,2026-01-28 14:46:18.002598+07,100,33.4,58
107,2026-01-28 14:49:12.198326+07,78,33.5,63
108,2026-01-28 14:49:44.804815+07,78,33.1,59
109,2026-01-28 15:04:54.123891+07,76,33.8,61
110,2026-01-28 15:20:03.337398+07,74,31.2,63
111,2026-01-28 15:35:12.009034+07,73,32.4,68
112,2026-01-28 15:50:20.609784+07,72,32.4,66
113,2026-01-28 16:05:29.401812+07,71,32.1,62
114,2026-01-28 16:20:38.69483+07,70,32.6,62
115,2026-01-28 16:35:47.449139+07,70,32.3,65
116,2026-01-28 16:50:56.235831+07,70,31.7,69
117,2026-01-28 17:06:05.084479+07,70,31.4,70
118,2026-01-28 17:21:13.901122+07,70,30.2,74
119,2026-01-28 18:59:34.870034+07,50,27.5,84
120,2026-01-28 19:14:44.369619+07,49,27.6,84
121,2026-01-28 19:29:53.595556+07,49,27,84
122,2026-01-28 19:45:02.518053+07,49,27.1,85
123,2026-01-28 20:00:11.694864+07,48,27.9,85
124,2026-01-28 20:15:20.639708+07,48,27.3,85
125,2026-01-28 20:30:29.970659+07,48,27.2,85
126,2026-01-28 20:45:39.173819+07,48,27.4,86
127,2026-01-28 21:00:48.123322+07,47,27,85
128,2026-01-28 21:16:00.485392+07,47,27.4,85
129,2026-01-28 21:31:10.79233+07,47,27.4,84
130,2026-01-28 21:46:20.146521+07,48,27.9,84
131,2026-01-28 22:01:29.971941+07,47,27,84
132,2026-01-28 22:16:40.474679+07,47,27.4,83
133,2026-01-28 22:31:50.361368+07,47,27.5,84
134,2026-01-28 22:47:00.217998+07,46,26.7,84
135,2026-01-28 23:02:10.568299+07,46,26.1,85
136,2026-01-28 23:17:21.148552+07,47,26.6,84
137,2026-01-28 23:32:31.460158+07,47,26.3,84
138,2026-01-28 23:47:41.255081+07,47,26.7,85
139,2026-01-29 00:02:50.9047+07,46,26.4,85
140,2026-01-29 00:18:03.445172+07,47,26,85
141,2026-01-29 00:33:13.090781+07,47,26.6,86
142,2026-01-29 00:48:23.16615+07,46,26.4,86
143,2026-01-29 01:03:32.89049+07,46,26.4,86
144,2026-01-29 01:18:41.798652+07,46,26,87
145,2026-01-29 01:33:50.730921+07,46,26.1,87
146,2026-01-29 01:49:00.075393+07,46,25.1,87
147,2026-01-29 02:04:08.681157+07,47,25.6,87
148,2026-01-29 02:19:18.011542+07,46,25.8,87
149,2026-01-29 02:34:27.458274+07,47,25.7,88
150,2026-01-29 02:49:36.708783+07,46,25.7,89
151,2026-01-29 03:04:46.050985+07,46,25.5,89
152,2026-01-29 03:19:55.672479+07,45,25.5,88
153,2026-01-29 03:35:04.643959+07,46,25.7,89
154,2026-01-29 03:50:13.505207+07,46,25.3,89
155,2026-01-29 04:05:22.813602+07,47,25.7,89
156,2026-01-29 04:20:31.485996+07,46,25.7,89
157,2026-01-29 04:35:40.995459+07,46,25,89
158,2026-01-29 04:50:50.275068+07,46,25.2,89
159,2026-01-29 05:05:59.338466+07,46,25.8,89
160,2026-01-29 05:21:08.565747+07,46,25.2,89
161,2026-01-29 05:36:17.429312+07,46,25.4,89
162,2026-01-29 05:51:26.00184+07,47,25.3,90
163,2026-01-29 06:06:34.69937+07,46,25.6,89
164,2026-01-29 06:43:02.837938+07,100,24,91
165,2026-01-29 06:58:11.991018+07,100,24.4,93
166,2026-01-29 07:13:20.666171+07,100,23.7,94
167,2026-01-29 07:28:29.893193+07,100,24.4,94
168,2026-01-29 07:43:38.678476+07,100,26.7,91
169,2026-01-29 07:58:47.580655+07,100,27,84
170,2026-01-29 08:13:56.365821+07,100,28.1,78
171,2026-01-29 08:29:05.666861+07,100,31.1,69
172,2026-01-29 08:44:14.944477+07,99,35.7,51
173,2026-01-29 08:59:24.287058+07,99,38.3,41
174,2026-01-29 09:14:33.732294+07,98,41.1,31
175,2026-01-29 09:29:42.497024+07,97,44,29
176,2026-01-29 09:44:51.942157+07,98,47.7,22
179,2026-01-29 10:30:19.685499+07,99,45,21
183,2026-01-29 11:30:55.788824+07,95,38.8,42
184,2026-01-29 12:01:11.369951+07,100,43.4,25
185,2026-01-29 12:16:20.552667+07,100,40.8,31
186,2026-01-29 12:31:29.35485+07,100,37.7,40
187,2026-01-29 12:46:38.021114+07,100,35,49
188,2026-01-29 13:01:46.538725+07,99,35.8,52
189,2026-01-29 13:16:55.732694+07,100,36.1,41
190,2026-01-29 13:29:41.182557+07,84,36.9,49
191,2026-01-29 13:30:50.487716+07,85,49.8,10
192,2026-01-29 13:45:59.206619+07,91,48.9,21
193,2026-01-29 14:01:07.944347+07,87,36.6,47
194,2026-01-29 14:16:16.74792+07,89,40.4,36
195,2026-01-29 14:31:26.030324+07,89,35.9,41
196,2026-01-29 14:46:34.627295+07,89,35.6,50
